COUNTYFIPS,NAME,STATEPLANEFIPS,EPSG
16079,Shoshone County,1103,26970
16073,Owyhee County,1103,26970
16071,Oneida County,1101,26968
16077,Power County,1101,26968
16075,Payette County,1103,26970
06115,Yuba County,0402,26942
06111,Ventura County,0405,26945
06113,Yolo County,0402,26942
31177,Washington County,2600,32104
01087,Macon County,0101,26929
02100,Haines Borough,5001,26931
01003,Baldwin County,0102,26930
40147,Washington County,3501,32124
19159,Ringgold County,1402,26976
39109,Miami County,3402,32123
19155,Pottawattamie County,1402,26976
39105,Meigs County,3402,32123
51067,Franklin County,4502,32147
39107,Mercer County,3401,32122
19151,Pocahontas County,1401,26975
39101,Marion County,3401,32122
51063,Floyd County,4502,32147
40141,Tillman County,3502,32125
40029,Coal County,3502,32125
40143,Tulsa County,3501,32124
22009,Avoyelles Parish,1701,26981
40027,Cleveland County,3502,32125
22001,Acadia Parish,1702,26982
22003,Allen Parish,1702,26982
22005,Ascension Parish,1702,26982
13029,Bryan County,1001,26966
22007,Assumption Parish,1702,26982
06029,Kern County,0405,26945
06021,Glenn County,0402,26942
40023,Choctaw County,3502,32125
06023,Humboldt County,0401,26941
06025,Imperial County,0406,26946
06027,Inyo County,0404,26944
27173,Yellow Medicine County,2203,26993
27171,Wright County,2203,26993
19171,Tama County,1401,26975
21101,Henderson County,1602,26980
21103,Henry County,1601,2205
21105,Hickman County,1602,26980
21107,Hopkins County,1602,26980
21109,Jackson County,1602,26980
32013,Humboldt County,2703,32109
32011,Eureka County,2701,32107
32017,Lincoln County,2701,32107
32015,Lander County,2702,32108
32019,Lyon County,2703,32109
26157,Tuscola County,2113,26990
42055,Franklin County,3702,32129
26155,Shiawassee County,2113,26990
42057,Fulton County,3702,32129
12019,Clay County,0901,26958
42051,Fayette County,3702,32129
26151,Sanilac County,2113,26990
42053,Forest County,3701,32128
12015,Charlotte County,0902,26959
12017,Citrus County,0902,26959
12011,Broward County,0901,26958
42059,Greene County,3702,32129
12013,Calhoun County,0903,26960
51115,Mathews County,4502,32147
46009,Bon Homme County,4002,32135
51111,Lunenburg County,4502,32147
51113,Madison County,4501,32146
46003,Aurora County,4002,32135
46007,Bennett County,4002,32135
53007,Chelan County,4601,32148
46005,Beadle County,4001,32134
17031,Cook County,1201,26971
17033,Crawford County,1201,26971
17035,Cumberland County,1201,26971
17037,DeKalb County,1201,26971
05137,Stone County,0301,26951
05135,Sharp County,0301,26951
05133,Sevier County,0302,26952
05131,Sebastian County,0301,26951
72073,Jayuya Muno,5200,32161
46117,Stanley County,4002,32135
26023,Branch County,2113,26990
05003,Ashley County,0302,26952
26021,Berrien County,2113,26990
05001,Arkansas County,0302,26952
26027,Cass County,2113,26990
05007,Benton County,0301,26951
05005,Baxter County,0301,26951
12121,Suwannee County,0903,26960
53025,Grant County,4602,32149
05009,Boone County,0301,26951
12125,Union County,0903,26960
53021,Franklin County,4602,32149
48261,Kenedy County,4205,32141
01025,Clarke County,0102,26930
01027,Clay County,0101,26929
01021,Chilton County,0102,26930
01023,Choctaw County,0102,26930
01029,Cleburne County,0101,26929
72029,Canóvanas Muno,5200,32161
37009,Ashe County,3200,32119
28107,Panola County,2302,26995
37007,Anson County,3200,32119
37005,Alleghany County,3200,32119
37003,Alexander County,3200,32119
37001,Alamance County,3200,32119
12009,Brevard County,0901,26958
48365,Panola County,4202,32138
48367,Parker County,4202,32138
48361,Orange County,4203,32139
48363,Palo Pinto County,4202,32138
42125,Washington County,3702,32129
36021,Columbia County,3101,32115
36027,Dutchess County,3101,32115
42123,Warren County,3701,32128
48235,Irion County,4203,32139
72103,Naguabo Muno,5200,32161
20095,Kingman County,1502,26978
51065,Fluvanna County,4502,32147
48149,Fayette County,4204,32140
48419,Shelby County,4203,32139
48417,Shackelford County,4202,32138
48415,Scurry County,4202,32138
19157,Poweshiek County,1402,26976
48411,San Saba County,4203,32139
01111,Randolph County,0101,26929
01113,Russell County,0101,26929
01115,St. Clair County,0101,26929
01117,Shelby County,0102,26930
01119,Sumter County,0102,26930
48093,Comanche County,4203,32139
13059,Clarke County,1002,26967
48097,Cooke County,4202,32138
48095,Concho County,4203,32139
13053,Chattahoochee County,1002,26967
48099,Coryell County,4203,32139
13057,Cherokee County,1002,26967
13055,Chattooga County,1002,26967
13183,Long County,1001,26966
29171,Putnam County,2402,26997
37177,Tyrrell County,3200,32119
37175,Transylvania County,3200,32119
37173,Swain County,3200,32119
37171,Surry County,3200,32119
37179,Union County,3200,32119
08053,Hinsdale County,0503,26955
54087,Roane County,4702,32151
48029,Bexar County,4204,32140
54081,Raleigh County,4702,32151
54083,Randolph County,4702,32151
08059,Jefferson County,0502,26954
54089,Summers County,4702,32151
31129,Nuckolls County,2600,32104
31127,Nemaha County,2600,32104
31125,Nance County,2600,32104
31123,Morrill County,2600,32104
31121,Merrick County,2600,32104
18149,Starke County,1302,26974
37125,Moore County,3200,32119
18141,St. Joseph County,1301,26973
18143,Scott County,1301,26973
18145,Shelby County,1301,26973
18147,Spencer County,1302,26974
18181,White County,1302,26974
72003,Aguada Muno,5200,32161
37121,Mitchell County,3200,32119
29109,Lawrence County,2403,26998
72129,San Lorenzo Muno,5200,32161
29101,Johnson County,2403,26998
29103,Knox County,2402,26997
37123,Montgomery County,3200,32119
29105,Laclede County,2402,26997
29107,Lafayette County,2403,26998
55111,Sauk County,4803,32154
55113,Sawyer County,4801,32152
55115,Shawano County,4802,32153
55117,Sheboygan County,4803,32154
48303,Lubbock County,4202,32138
55119,Taylor County,4802,32153
34041,Warren County,2900,32111
46013,Brown County,4001,32134
05117,Prairie County,0302,26952
48307,McCulloch County,4203,32139
48305,Lynn County,4202,32138
47035,Cumberland County,4100,32136
47037,Davidson County,4100,32136
47031,Coffee County,4100,32136
47033,Crockett County,4100,32136
06107,Tulare County,0404,26944
06105,Trinity County,0401,26941
47039,Decatur County,4100,32136
06103,Tehama County,0401,26941
06101,Sutter County,0402,26942
46137,Ziebach County,4001,32134
55029,Door County,4802,32153
19149,Plymouth County,1401,26975
55025,Dane County,4803,32154
19147,Palo Alto County,1401,26975
39173,Wood County,3401,32122
51075,Goochland County,4502,32147
39175,Wyandot County,3401,32122
51073,Gloucester County,4502,32147
55023,Crawford County,4803,32154
19141,O'Brien County,1401,26975
19185,Wayne County,1402,26976
22019,Calcasieu Parish,1702,26982
22013,Bienville Parish,1701,26981
22011,Beauregard Parish,1702,26982
22017,Caddo Parish,1701,26981
22015,Bossier Parish,1701,26981
46129,Walworth County,4001,32134
06039,Madera County,0403,26943
06033,Lake County,0402,26942
06031,Kings County,0404,26944
46125,Turner County,4002,32135
46127,Union County,4002,32135
39005,Ashland County,3401,32122
16065,Madison County,1101,26968
27141,Sherburne County,2203,26993
16067,Minidoka County,1102,26969
27147,Steele County,2203,26993
16061,Lewis County,1103,26970
39003,Allen County,3401,32122
16063,Lincoln County,1102,26969
27149,Stevens County,2202,26992
18119,Owen County,1302,26974
39009,Athens County,3402,32123
16069,Nez Perce County,1103,26970
21113,Jessamine County,1601,2205
21111,Jefferson County,1601,2205
21117,Kenton County,1601,2205
21115,Johnson County,1602,26980
56043,Washakie County,4902,32156
56041,Uinta County,4904,32158
56045,Weston County,4901,32155
32009,Esmeralda County,2703,32109
32005,Douglas County,2703,32109
32007,Elko County,2701,32107
32001,Churchill County,2703,32109
32003,Clark County,2701,32107
42021,Cambria County,3702,32129
46015,Brule County,4002,32135
42023,Cameron County,3701,32128
46017,Buffalo County,4002,32135
42025,Carbon County,3701,32128
26145,Saginaw County,2113,26990
42027,Centre County,3701,32128
26147,St. Clair County,2113,26990
42029,Chester County,3702,32129
12007,Bradford County,0903,26960
12003,Baker County,0903,26960
12001,Alachua County,0903,26960
51107,Loudoun County,4501,32146
51105,Lee County,4502,32147
51103,Lancaster County,4502,32147
51101,King William County,4502,32147
51109,Louisa County,4502,32147
05109,Pike County,0302,26952
05103,Ouachita County,0302,26952
05101,Newton County,0301,26951
05107,Phillips County,0302,26952
05105,Perry County,0301,26951
13289,Twiggs County,1002,26967
13287,Turner County,1002,26967
13285,Troup County,1002,26967
13283,Treutlen County,1001,26966
13281,Towns County,1002,26967
31163,Sherman County,2600,32104
48127,Dimmit County,4204,32140
53039,Klickitat County,4602,32149
31161,Sheridan County,2600,32104
26039,Crawford County,2112,26989
05039,Dallas County,0302,26952
49047,Uintah County,4302,32143
05037,Cross County,0301,26951
26035,Clare County,2112,26989
05035,Crittenden County,0301,26951
26037,Clinton County,2113,26990
05033,Crawford County,0301,26951
26031,Cheboygan County,2112,26989
05031,Craighead County,0301,26951
26033,Chippewa County,2111,26988
49045,Tooele County,4302,32143
48229,Hudspeth County,4203,32139
20089,Jewell County,1501,26977
20087,Jefferson County,1501,26977
20085,Jackson County,1501,26977
31165,Sioux County,2600,32104
48221,Hood County,4202,32138
20081,Haskell County,1502,26978
46091,Marshall County,4001,32134
01051,Elmore County,0101,26929
01053,Escambia County,0102,26930
01055,Etowah County,0101,26929
01057,Fayette County,0102,26930
01059,Franklin County,0102,26930
49041,Sevier County,4302,32143
36017,Chenango County,3102,32116
37019,Brunswick County,3200,32119
13199,Meriwether County,1002,26967
36013,Chautauqua County,3103,32117
36011,Cayuga County,3102,32116
13193,Macon County,1002,26967
37011,Avery County,3200,32119
13191,McIntosh County,1001,26966
37013,Beaufort County,3200,32119
13197,Marion County,1002,26967
37015,Bertie County,3200,32119
36019,Clinton County,3101,32115
37017,Bladen County,3200,32119
48311,McMullen County,4204,32140
48313,Madison County,4203,32139
48315,Marion County,4202,32138
48317,Martin County,4202,32138
48319,Mason County,4203,32139
48139,Ellis County,4202,32138
48429,Stephens County,4202,32138
48423,Smith County,4202,32138
48133,Eastland County,4202,32138
48427,Starr County,4205,32141
48137,Edwards County,4204,32140
13067,Cobb County,1002,26967
13179,Liberty County,1001,26966
13065,Clinch County,1001,26966
13063,Clayton County,1002,26967
13061,Clay County,1002,26967
47177,Warren County,4100,32136
13069,Coffee County,1001,26966
51095,James City County,4502,32147
13265,Taliaferro County,1001,26966
13267,Tattnall County,1001,26966
13261,Sumter County,1002,26967
13263,Talbot County,1002,26967
13269,Taylor County,1002,26967
13271,Telfair County,1001,26966
40089,McCurtain County,3502,32125
48047,Brooks County,4205,32141
48041,Brazos County,4203,32139
48043,Brewster County,4204,32140
40081,Lincoln County,3501,32124
26153,Schoolcraft County,2111,26988
40083,Logan County,3501,32124
48049,Brown County,4203,32139
40087,McClain County,3502,32125
20065,Graham County,1501,26977
37161,Rutherford County,3200,32119
20067,Grant County,1502,26978
37163,Sampson County,3200,32119
20061,Geary County,1501,26977
37165,Scotland County,3200,32119
20063,Gove County,1501,26977
37167,Stanly County,3200,32119
37169,Stokes County,3200,32119
20069,Gray County,1502,26978
72095,Maunabo Muno,5200,32161
08069,Larimer County,0501,26953
08067,La Plata County,0503,26955
08065,Lake County,0502,26954
13279,Toombs County,1001,26966
08063,Kit Carson County,0502,26954
08061,Kiowa County,0503,26955
31119,Madison County,2600,32104
31113,Logan County,2600,32104
31111,Lincoln County,2600,32104
31117,McPherson County,2600,32104
31115,Loup County,2600,32104
08085,Montrose County,0503,26955
08087,Morgan County,0501,26953
18159,Tipton County,1301,26973
08081,Moffat County,0501,26953
26159,Van Buren County,2113,26990
08083,Montezuma County,0503,26955
18153,Sullivan County,1302,26974
18151,Steuben County,1301,26973
08089,Otero County,0503,26955
18157,Tippecanoe County,1302,26974
18155,Switzerland County,1301,26973
19191,Winneshiek County,1401,26975
51117,Mecklenburg County,4502,32147
72139,Trujillo Alto Muno,5200,32161
29119,McDonald County,2403,26998
33009,Grafton County,2800,32110
72131,San Sebastián Muno,5200,32161
29111,Lewis County,2401,26996
72135,Toa Alta Muno,5200,32161
72137,Toa Baja Muno,5200,32161
51033,Caroline County,4501,32146
27039,Dodge County,2203,26993
42133,York County,3702,32129
51031,Campbell County,4502,32147
54059,Mingo County,4702,32151
51036,Charles City County,4502,32147
51037,Charlotte County,4502,32147
55103,Richland County,4803,32154
40021,Cherokee County,3501,32124
55101,Racine County,4803,32154
55107,Rusk County,4802,32153
55105,Rock County,4803,32154
51119,Middlesex County,4502,32147
55109,St. Croix County,4802,32153
72091,Manatí Muno,5200,32161
27033,Cottonwood County,2203,26993
48055,Caldwell County,4204,32140
33013,Merrimack County,2800,32110
47027,Clay County,4100,32136
47025,Claiborne County,4100,32136
47023,Chester County,4100,32136
47021,Cheatham County,4100,32136
47029,Cocke County,4100,32136
29199,Scotland County,2402,26997
19195,Worth County,1401,26975
05139,Union County,0302,26952
51049,Cumberland County,4502,32147
39169,Wayne County,3401,32122
55039,Fond du Lac County,4803,32154
51043,Clarke County,4501,32146
55037,Florence County,4801,32152
51041,Chesterfield County,4502,32147
39161,Van Wert County,3401,32122
19177,Van Buren County,1402,26976
39167,Washington County,3402,32123
19175,Union County,1402,26976
55031,Douglas County,4801,32152
22027,Claiborne Parish,1701,26981
22025,Catahoula Parish,1701,26981
22023,Cameron Parish,1702,26982
22021,Caldwell Parish,1701,26981
22029,Concordia Parish,1701,26981
06007,Butte County,0402,26942
06005,Amador County,0402,26942
06003,Alpine County,0402,26942
06001,Alameda County,0403,26943
06009,Calaveras County,0403,26943
02013,Aleutians East Borough,5007,26937
